category_small_code,product_code,product_name,product_img_url,brand_name
B002001,C3830519,트랜스폼 셔링 블루종 BLACK,https://image.msscdn.net/images/goods_img/20240129/3830519/3830519_17071237994625_125.jpg,인사일런스(INSILENCE)
B002001,C3830518,트랜스폼 셔링 블루종 BEIGE,https://image.msscdn.net/images/goods_img/20240129/3830518/3830518_17071239137150_125.jpg,인사일런스(INSILENCE)
B002001,C3830517,스머징 DTP 블루종 BLACK,https://image.msscdn.net/images/goods_img/20240129/3830517/3830517_17071247388580_125.jpg,인사일런스(INSILENCE)
B002001,C3797229,WASHED MA-1 HOODIE JACKET [CHARCOAL],https://image.msscdn.net/images/goods_img/20240116/3797229/3797229_17078981744092_125.jpg,그레일즈(GRAILZ)
B002001,C3869753,멀티포켓 집업 셔츠 블랙,https://image.msscdn.net/images/goods_img/20240214/3869753/3869753_17079054241883_125.jpg,지오송지오(ZIOSONGZIO)
B002001,C3869751,멀티포켓 집업 셔츠 베이지,https://image.msscdn.net/images/goods_img/20240214/3869751/3869751_17079054050503_125.jpg,지오송지오(ZIOSONGZIO)
B002001,C3869740,프론트 포켓 2way 크롭 MA-1 그레이,https://image.msscdn.net/images/goods_img/20240214/3869740/3869740_17079048446567_125.png,덕다이브(DUCKDIVE)
B002001,C3869738,프론트 포켓 2way 크롭 MA-1 블랙,https://image.msscdn.net/images/goods_img/20240214/3869738/3869738_17079047353468_125.png,덕다이브(DUCKDIVE)
B002001,C3868233,[무료반품] 남성 리버시블 퀼팅 블루종 [블랙],https://image.msscdn.net/images/goods_img/20240214/3868233/3868233_17078925805439_125.jpg,라코스테(LACOSTE)
B002001,C3868197,[무료반품] 남성 하이넥 블루종 [베이지],https://image.msscdn.net/images/goods_img/20240214/3868197/3868197_17078923534620_125.jpg,라코스테(LACOSTE)
B002001,C3868188,[무료반품] 남성 하이넥 블루종 [블랙],https://image.msscdn.net/images/goods_img/20240214/3868188/3868188_17078960911822_125.jpg,라코스테(LACOSTE)
B002001,C3867112,24SS  여성 아바론 항공 점퍼 OWJUN5101-102,https://image.msscdn.net/images/goods_img/20240214/3867112/3867112_17078861136025_125.jpg,오닐(ONEILL)
B002001,C3867111,24SS  여성 아바론 항공 점퍼 OWJUN5101-199,https://image.msscdn.net/images/goods_img/20240214/3867111/3867111_17078861070976_125.jpg,오닐(ONEILL)
B002001,C3867107,24SS 남성 아바론 항공 점퍼 OMJUN1102-821,https://image.msscdn.net/images/goods_img/20240214/3867107/3867107_17078860862821_125.jpg,오닐(ONEILL)
B002001,C3867106,24SS 남성 아바론 항공 점퍼 OMJUN1102-199,https://image.msscdn.net/images/goods_img/20240214/3867106/3867106_17078860797290_125.jpg,오닐(ONEILL)
