category_small_code,product_code,product_name,product_img_url,brand_name
B004014,C3856515,SUPER-FRESH Eco bag,https://image.msscdn.net/images/goods_img/20240207/3856515/3856515_17073016776113_125.jpg,벤힛(VENHIT)
B004014,C3847800,소피아 에코백,https://image.msscdn.net/images/goods_img/20240205/3847800/3847800_17071316490966_125.jpg,유룩(ULUK)
B004014,C3847793,소피아 미니 에코백,https://image.msscdn.net/images/goods_img/20240205/3847793/3847793_17071316456876_125.jpg,유룩(ULUK)
B004014,C3847753,PAVE THE WAY 에코백,https://image.msscdn.net/images/goods_img/20240205/3847753/3847753_17071302765645_125.png,디알엑스(DRX)
B004014,C3847752,DRX PRX 에코백,https://image.msscdn.net/images/goods_img/20240205/3847752/3847752_17071301386850_125.png,디알엑스(DRX)
B004014,C3847683,CLASSIC LOGO BIG SHOPPER BAG light blue,https://image.msscdn.net/images/goods_img/20240205/3847683/3847683_17071278933693_125.jpg,마리떼(MARITHE
B004014,C3845484,마켓백 (3종),https://image.msscdn.net/images/goods_img/20240205/3845484/3845484_17070959361378_125.jpg,1537(FIFTEEN
B004014,C3844059,본보야지 말티즈 에코백 아이보리 Ver.1,https://image.msscdn.net/images/goods_img/20240202/3844059/3844059_17073796483550_125.jpg,와이케이(WAIKEI)
B004014,C3844058,본보야지 말티즈 에코백 아이보리 Ver.2,https://image.msscdn.net/images/goods_img/20240202/3844058/3844058_17073796748469_125.jpg,와이케이(WAIKEI)
B004014,C3844057,본보야지 말티즈 에코백 블랙,https://image.msscdn.net/images/goods_img/20240202/3844057/3844057_17073797104264_125.jpg,와이케이(WAIKEI)
B004014,C3843298,연보라 와플 라운드 코튼 쇼퍼 에코백,https://image.msscdn.net/images/goods_img/20240202/3843298/3843298_17068537873044_125.jpg,에이
B004014,C3842802,아이보리 와플 라운드 코튼 쇼퍼 에코백,https://image.msscdn.net/images/goods_img/20240202/3842802/3842802_17068524829958_125.jpg,에이
B004014,C3841032,CLASSIC LOGO ECO BAG (GREEN),https://image.msscdn.net/images/goods_img/20240201/3841032/3841032_17067826830450_125.png,홈바디띵즈(HOMEBODY
B004014,C3841027,CLASSIC LOGO ECO BAG (BROWN),https://image.msscdn.net/images/goods_img/20240201/3841027/3841027_17067825302188_125.png,홈바디띵즈(HOMEBODY
B004014,C3841019,CLASSIC LOGO ECO BAG (RED),https://image.msscdn.net/images/goods_img/20240201/3841019/3841019_17067823696207_125.png,홈바디띵즈(HOMEBODY
B004014,C3841012,CLASSIC LOGO ECO BAG (IVORY),https://image.msscdn.net/images/goods_img/20240201/3841012/3841012_17067821739172_125.png,홈바디띵즈(HOMEBODY
B004014,C3834233,TC)GG이브에코백,https://image.msscdn.net/images/goods_img/20240131/3834233/3834233_17066599771960_125.jpg,타티네
B004014,C3832769,시그니처 로고 에코백 (블랙),https://image.msscdn.net/images/goods_img/20240130/3832769/3832769_17065976318110_125.jpg,웬아이워즈영(WHENIWASYOUNG)
B004014,C3832743,럭키 클로버 에코백 (블랙),https://image.msscdn.net/images/goods_img/20240130/3832743/3832743_17065974286389_125.jpg,웬아이워즈영(WHENIWASYOUNG)
B004014,C3831221,리본 도트 셔링 텀블러 에코백 핑크,https://image.msscdn.net/images/goods_img/20240130/3831221/3831221_17065793611109_125.jpg,에이
B004014,C3831086,리본 도트 셔링 텀블러 에코백 아이보리,https://image.msscdn.net/images/goods_img/20240130/3831086/3831086_17065777191854_125.jpg,에이
B004014,C3830461,R Leopard Corduroy ECO BAG,https://image.msscdn.net/images/goods_img/20240129/3830461/3830461_17065219248219_125.jpg,로코로코(ROCOROCO)
B004014,C3823185,미키마우스 엠 에코백 BL,https://image.msscdn.net/images/goods_img/20240125/3823185/3823185_17061644276012_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823181,미키마우스 라인 에코백 NY,https://image.msscdn.net/images/goods_img/20240125/3823181/3823181_17061643637159_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823176,도널드덕 모스트 에코백 IV,https://image.msscdn.net/images/goods_img/20240125/3823176/3823176_17061643207208_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823173,미니마우스 리본 에코백 NY,https://image.msscdn.net/images/goods_img/20240125/3823173/3823173_17061642977546_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823169,플루토 트루 에코백 BL,https://image.msscdn.net/images/goods_img/20240125/3823169/3823169_17061642397140_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823164,도널드덕 두잉 에코백 BK,https://image.msscdn.net/images/goods_img/20240125/3823164/3823164_17061641852375_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3823139,미키마우스 앰블 에코백 IV,https://image.msscdn.net/images/goods_img/20240125/3823139/3823139_17061639966435_125.jpg,프리미에팜(PREMIERFAM)
B004014,C3818122,리유저블 쇼퍼백(L) - Super Market,https://image.msscdn.net/images/goods_img/20240124/3818122/3818122_17060728580370_125.jpg,위글위글(WIGGLE
B004014,C3818110,리유저블 쇼퍼백(M) - Pizza Time,https://image.msscdn.net/images/goods_img/20240124/3818110/3818110_17060727474337_125.jpg,위글위글(WIGGLE
B004014,C3817839,스탠다드 썬 앤 문 참스,https://image.msscdn.net/images/goods_img/20240124/3817839/3817839_17060691886451_125.jpg,바쿠(BAGGU)
B004014,C3817836,스탠다드 레드 깅엄,https://image.msscdn.net/images/goods_img/20240124/3817836/3817836_17060691835339_125.jpg,바쿠(BAGGU)
B004014,C3817833,스탠다드 네이비 스트라이프,https://image.msscdn.net/images/goods_img/20240124/3817833/3817833_17060691782738_125.jpg,바쿠(BAGGU)
B004014,C3817829,스탠다드 그린 깅엄,https://image.msscdn.net/images/goods_img/20240124/3817829/3817829_17060691726202_125.jpg,바쿠(BAGGU)
B004014,C3817823,스탠다드 깅엄 하트,https://image.msscdn.net/images/goods_img/20240124/3817823/3817823_17060691568121_125.jpg,바쿠(BAGGU)
B004014,C3817819,스탠다드 딧시 참스,https://image.msscdn.net/images/goods_img/20240124/3817819/3817819_17060691411266_125.jpg,바쿠(BAGGU)
B004014,C3817817,스탠다드 케루브 보우,https://image.msscdn.net/images/goods_img/20240124/3817817/3817817_17060691351448_125.jpg,바쿠(BAGGU)
B004014,C3817814,스탠다드 체리 타일,https://image.msscdn.net/images/goods_img/20240124/3817814/3817814_17060691293008_125.jpg,바쿠(BAGGU)
B004014,C3817811,스탠다드 구데타마,https://image.msscdn.net/images/goods_img/20240124/3817811/3817811_17060691233806_125.jpg,바쿠(BAGGU)
B004014,C3817807,베이비 썬샤인 타일,https://image.msscdn.net/images/goods_img/20240124/3817807/3817807_17060691177503_125.jpg,바쿠(BAGGU)
B004014,C3817803,베이비 레드 깅엄,https://image.msscdn.net/images/goods_img/20240124/3817803/3817803_17060691120889_125.jpg,바쿠(BAGGU)
B004014,C3817801,베이비 그린 깅엄,https://image.msscdn.net/images/goods_img/20240124/3817801/3817801_17060691062171_125.jpg,바쿠(BAGGU)
B004014,C3817799,베이비 깅엄 하트,https://image.msscdn.net/images/goods_img/20240124/3817799/3817799_17060690953950_125.jpg,바쿠(BAGGU)
B004014,C3817797,베이비 딧시 참스,https://image.msscdn.net/images/goods_img/20240124/3817797/3817797_17060690892707_125.jpg,바쿠(BAGGU)
B004014,C3817795,베이비 구데타마,https://image.msscdn.net/images/goods_img/20240124/3817795/3817795_17060690784790_125.jpg,바쿠(BAGGU)
B004014,C3817793,빅 썬샤인 타일,https://image.msscdn.net/images/goods_img/20240124/3817793/3817793_17060690727239_125.jpg,바쿠(BAGGU)
B004014,C3817792,빅 레드 깅엄,https://image.msscdn.net/images/goods_img/20240124/3817792/3817792_17060690669024_125.jpg,바쿠(BAGGU)
B004014,C3817789,스탠다드 베케이션 타일 3SET,https://image.msscdn.net/images/goods_img/20240124/3817789/3817789_17060690614074_125.jpg,바쿠(BAGGU)
B004014,C3817786,빅 네이비 스트라이프,https://image.msscdn.net/images/goods_img/20240124/3817786/3817786_17060690549844_125.jpg,바쿠(BAGGU)
B004014,C3817147,스탠다드 썬샤인 타일,https://image.msscdn.net/images/goods_img/20240124/3817147/3817147_17060563407661_125.jpg,바쿠(BAGGU)
B004014,C3817146,스탠다드 깅엄 3SET,https://image.msscdn.net/images/goods_img/20240124/3817146/3817146_17060563355277_125.jpg,바쿠(BAGGU)
B004014,C3817142,베이비 케루브 보우,https://image.msscdn.net/images/goods_img/20240124/3817142/3817142_17060562328850_125.jpg,바쿠(BAGGU)
B004014,C3812844,[무료반품] CANVAS 2WAY ECOBAG - IVORY,https://image.msscdn.net/images/goods_img/20240122/3812844/3812844_17059056682770_125.jpg,마크곤잘레스(MARK
B004014,C3809616,시그니처 슬로우선데이 러닝클럽 블랙 에코백,https://image.msscdn.net/images/goods_img/20240119/3809616/3809616_17056489078872_125.jpg,슬로우선데이(SLOW
B004014,C3809562,위클리 굿 프라이데이 레드 에코백,https://image.msscdn.net/images/goods_img/20240119/3809562/3809562_17056474703319_125.jpg,슬로우선데이(SLOW
B004014,C3809504,위클리 홀리 세터데이 다크그린 에코백,https://image.msscdn.net/images/goods_img/20240119/3809504/3809504_17056469687450_125.jpg,슬로우선데이(SLOW
B004014,C3809479,위클리 해피 써즈데이 딥네이비 에코백,https://image.msscdn.net/images/goods_img/20240119/3809479/3809479_17056467105732_125.jpg,슬로우선데이(SLOW
B004014,C3809417,위클리 비지 먼데이 다크핑크 에코백,https://image.msscdn.net/images/goods_img/20240119/3809417/3809417_17056457473276_125.jpg,슬로우선데이(SLOW
B004014,C3809404,위클리  슬로우선데이 블루 에코백,https://image.msscdn.net/images/goods_img/20240119/3809404/3809404_17056455104059_125.jpg,슬로우선데이(SLOW
B004014,C3809352,위클리 스틸 웬즈데이 다크베이지 에코백,https://image.msscdn.net/images/goods_img/20240119/3809352/3809352_17056449546434_125.jpg,슬로우선데이(SLOW
B004014,C3809276,위클리 잇스 투즈데이 머스타드 에코백,https://image.msscdn.net/images/goods_img/20240119/3809276/3809276_17056446602848_125.jpg,슬로우선데이(SLOW
B004014,C3809104,N245ATO510 베이직 에코백 BLACK,https://image.msscdn.net/images/goods_img/20240119/3809104/3809104_17056425626086_125.jpg,내셔널지오그래픽(NATIONALGEOGRAPHIC)
B004014,C3809101,N245ATO510 베이직 에코백 IVORY,https://image.msscdn.net/images/goods_img/20240119/3809101/3809101_17056425563300_125.jpg,내셔널지오그래픽(NATIONALGEOGRAPHIC)
B004014,C3807844,뉴 캣 심볼(NEW CAT SYMBOL) 캔버스 숄더 빅 에코백 화이트,https://image.msscdn.net/images/goods_img/20240118/3807844/3807844_17055881417834_125.jpg,보늬(BONIEE)
B004014,C3807843,뉴 캣 심볼(NEW CAT SYMBOL) 캔버스 숄더 빅 에코백 블랙,https://image.msscdn.net/images/goods_img/20240118/3807843/3807843_17055879767601_125.jpg,보늬(BONIEE)
B004014,C3807842,MEOW 고양이(MEOW CAT KITTEN) 캔버스 숄더 빅 에코백 화이트,https://image.msscdn.net/images/goods_img/20240118/3807842/3807842_17055877334241_125.jpg,보늬(BONIEE)
B004014,C3807840,MEOW 고양이(MEOW CAT KITTEN) 캔버스 숄더 빅 에코백 블랙,https://image.msscdn.net/images/goods_img/20240118/3807840/3807840_17055874984147_125.jpg,보늬(BONIEE)
B004014,C3800267,WK 3D 로고 에코백 아이보리,https://image.msscdn.net/images/goods_img/20240117/3800267/3800267_17061848855946_125.jpg,와이케이(WAIKEI)
B004014,C3800266,WK 3D 로고 에코백 블랙,https://image.msscdn.net/images/goods_img/20240117/3800266/3800266_17061849039791_125.jpg,와이케이(WAIKEI)
B004014,C3799275,Cotton Market Bag (Nut Brown),https://image.msscdn.net/images/goods_img/20240116/3799275/3799275_17054130907599_125.jpg,런던그로서리마켓(LONDON
B004014,C3799271,Cotton Market Bag (Red),https://image.msscdn.net/images/goods_img/20240116/3799271/3799271_17054127455934_125.jpg,런던그로서리마켓(LONDON
B004014,C3798830,독도는 한국땅 에코백,https://image.msscdn.net/images/goods_img/20240116/3798830/3798830_17053952441199_125.jpg,라카이(LAKAI)
B004014,C3797043,리뉴 뉴포켓 에코백,https://image.msscdn.net/images/goods_img/20240116/3797043/3797043_17053733826567_125.jpg,리뉴어스(RENUERS)
B004014,C3796746,리뉴 쿨러백-2color,https://image.msscdn.net/images/goods_img/20240116/3796746/3796746_17053709142378_125.jpg,리뉴어스(RENUERS)
B004014,C3796533,리뉴 스트링 숄더백,https://image.msscdn.net/images/goods_img/20240116/3796533/3796533_17053698515129_125.jpg,리뉴어스(RENUERS)
B004014,C3794264,캐시 런치백,https://image.msscdn.net/images/goods_img/20240115/3794264/3794264_17052823312792_125.png,올리앤캐롤(OLI
B004014,C3794252,페피타 런치백,https://image.msscdn.net/images/goods_img/20240115/3794252/3794252_17052822578612_125.png,올리앤캐롤(OLI
B004014,C3794243,안나 런치백,https://image.msscdn.net/images/goods_img/20240115/3794243/3794243_17052821988165_125.jpg,올리앤캐롤(OLI
B004014,C3794227,월리 런치백,https://image.msscdn.net/images/goods_img/20240115/3794227/3794227_17052821321947_125.png,올리앤캐롤(OLI
B004014,C3794223,라모나 런치백,https://image.msscdn.net/images/goods_img/20240115/3794223/3794223_17052820445584_125.png,올리앤캐롤(OLI
B004014,C3794216,메리 런치백,https://image.msscdn.net/images/goods_img/20240115/3794216/3794216_17052819567551_125.png,올리앤캐롤(OLI
B004014,C3794041,핸드메이드 자수 숄더백,https://image.msscdn.net/images/goods_img/20240115/3794041/3794041_17052816873916_125.png,올리앤캐롤(OLI
B004014,C3792169,오픈더도어  에코백,https://image.msscdn.net/images/goods_img/20240112/3792169/3792169_17050353164870_125.png,브릭브릭스(BREAK
B004014,C3792003,클라우드캔디  에코백,https://image.msscdn.net/images/goods_img/20240112/3792003/3792003_17050343460316_125.png,브릭브릭스(BREAK
B004014,C3791956,테이크어브레이크  에코백,https://image.msscdn.net/images/goods_img/20240112/3791956/3791956_17050336400471_125.png,브릭브릭스(BREAK
B004014,C3791859,"자메이카드림에코백[블랙블랙,레드레드]",https://image.msscdn.net/images/goods_img/20240112/3791859/3791859_17050308617790_125.jpg,지나인뉴욕(JINA
B004014,C3786685,[PUPPY] 블루 프린트배색 면 에코백,https://image.msscdn.net/images/goods_img/20240110/3786685/3786685_17048739149859_125.jpg,헤지스
B004014,C3786684,[PUPPY] 아이보리 프린트배색 면 에코백,https://image.msscdn.net/images/goods_img/20240110/3786684/3786684_17048738915384_125.jpg,헤지스
B004014,C3784141,[PAPER] 페이퍼 블랙 데님 세로형 에코백,https://image.msscdn.net/images/goods_img/20240109/3784141/3784141_17054785318709_125.jpg,질스튜어트
B004014,C3784140,[PAPER] 페이퍼 인디고 블루 데님 가로형 에코백,https://image.msscdn.net/images/goods_img/20240109/3784140/3784140_17054786642554_125.jpg,질스튜어트
B004014,C3784139,[PAPER] 페이퍼 블랙 데님 가로형 에코백,https://image.msscdn.net/images/goods_img/20240109/3784139/3784139_17054785957627_125.jpg,질스튜어트
B004014,C3780557,SG Essential Pouch (JP0GAU901BK),https://image.msscdn.net/images/goods_img/20240108/3780557/3780557_17046898880765_125.jpg,지프(JEEP)
B004014,C3778162,코튼 미니 스트링 에코백 아이보리,https://image.msscdn.net/images/goods_img/20240105/3778162/3778162_17053758430959_125.jpg,리(LEE)
B004014,C3778161,코튼 미니 스트링 에코백 인디고 다크,https://image.msscdn.net/images/goods_img/20240105/3778161/3778161_17053758526003_125.jpg,리(LEE)
B004014,C3778159,코튼 미니 스트링 에코백 민트,https://image.msscdn.net/images/goods_img/20240105/3778159/3778159_17053758602002_125.jpg,리(LEE)
B004014,C3778148,코튼 스트링 에코백 아이보리,https://image.msscdn.net/images/goods_img/20240105/3778148/3778148_17053758993599_125.jpg,리(LEE)
B004014,C3778147,코튼 스트링 에코백 인디고 다크,https://image.msscdn.net/images/goods_img/20240105/3778147/3778147_17053759068174_125.jpg,리(LEE)
B004014,C3767832,스트링 에코백 (HPABGD229M RE) HPABGEA223,https://image.msscdn.net/images/goods_img/20231227/3767832/3767832_17036379995654_125.jpg,슈펜(SHOOPEN)
B004014,C3764851,PAINTING FLOWER ECO BAG-WHITE,https://image.msscdn.net/images/goods_img/20231222/3764851/3764851_17032118669432_125.jpg,이미스(EMIS)
B004014,C3759006,K245KCR130 에코백 IVORY,https://image.msscdn.net/images/goods_img/20231218/3759006/3759006_17028735988575_125.jpg,내셔널지오그래픽
B004014,C3759005,K245KCR130 에코백 BLACK,https://image.msscdn.net/images/goods_img/20231218/3759005/3759005_17028735936231_125.jpg,내셔널지오그래픽
B004014,C3754662,THE MUSEUM VISTIOR COLLECTION 2023-2024 CORDUROY ECO BAG (BROWN),https://image.msscdn.net/images/goods_img/20231213/3754662/3754662_17024411411295_125.jpg,더뮤지엄비지터(THEMUSEUMVISITOR)
B004014,C3754659,THE MUSEUM VISTIOR COLLECTION 2023-2024 CORDUROY ECO BAG (BLACK),https://image.msscdn.net/images/goods_img/20231213/3754659/3754659_17024409642348_125.jpg,더뮤지엄비지터(THEMUSEUMVISITOR)
B004014,C3752606,심풀 와이드 쇼퍼백 64 클레식 코듀로이 - 골덴 navy M,https://image.msscdn.net/images/goods_img/20231212/3752606/3752606_17023417109058_125.jpg,그린스터프(GREEN
B004014,C3752603,심풀 와이드 쇼퍼백 64 클레식 코듀로이 - 골덴 green M,https://image.msscdn.net/images/goods_img/20231212/3752603/3752603_17023414436648_125.jpg,그린스터프(GREEN
B004014,C3752601,심풀 와이드 쇼퍼백 64 클레식 코듀로이 - 골덴 black M,https://image.msscdn.net/images/goods_img/20231212/3752601/3752601_17023412191101_125.jpg,그린스터프(GREEN
B004014,C3752373,트레블 클라우드 백 베이 라우렐,https://image.msscdn.net/images/goods_img/20231211/3752373/3752373_17022865887922_125.jpg,바쿠(BAGGU)
B004014,C3752372,트레블 클라우드 백 엑스트라 핑크,https://image.msscdn.net/images/goods_img/20231211/3752372/3752372_17022865833433_125.jpg,바쿠(BAGGU)
B004014,C3752371,트레블 클라우드 백 블랙,https://image.msscdn.net/images/goods_img/20231211/3752371/3752371_17022865783137_125.jpg,바쿠(BAGGU)
